Geschlecht;Groesse;Alter;Gewicht;Betaetigung;Einordnung
w;148;47;50;keinSport;Normalgewicht
m;163;42;72;keinSport;Uebergewicht
m;160;48;49;Ausdauersport;Untergewicht
m;156;27;53;Ausdauersport;Normalgewicht
m;169;42;65;Ausdauersport;Normalgewicht
w;149;32;60;Ausdauersport;Normalgewicht
w;158;71;53;keinSport;Untergewicht
w;145;74;59;keinSport;Normalgewicht
w;147;31;46;Ausdauersport;Normalgewicht
w;150;55;121;keinSport;Uebergewicht
w;148;29;62;Ausdauersport;Normalgewicht
w;162;60;92;keinSport;Uebergewicht
m;168;58;67;keinSport;Untergewicht
m;163;62;74;keinSport;Normalgewicht
w;155;65;65;keinSport;Normalgewicht
m;163;38;73;Ausdauersport;Uebergewicht
m;165;52;112;keinSport;Uebergewicht
w;148;37;63;Kraftsport;Uebergewicht
m;170;36;109;keinSport;Uebergewicht
m;169;46;47;Ausdauersport;Untergewicht
m;163;54;65;Ausdauersport;Normalgewicht
w;177;83;115;keinSport;Uebergewicht
w;151;62;82;keinSport;Uebergewicht
w;155;39;60;Ausdauersport;Normalgewicht
w;152;30;54;keinSport;Normalgewicht
m;170;62;74;Ausdauersport;Normalgewicht
w;150;42;52;Kraftsport;Normalgewicht
w;155;27;46;keinSport;Untergewicht
w;143;61;43;keinSport;Untergewicht
m;162;71;62;Kraftsport;Untergewicht
w;153;56;56;keinSport;Normalgewicht
m;160;43;52;Ausdauersport;Untergewicht
w;151;75;64;keinSport;Normalgewicht
w;162;86;64;keinSport;Untergewicht
w;161;22;58;Ausdauersport;Normalgewicht
w;152;61;74;keinSport;Uebergewicht
m;159;31;92;Kraftsport;Uebergewicht
w;149;36;83;keinSport;Uebergewicht
m;161;54;70;Ausdauersport;Normalgewicht
w;151;43;87;keinSport;Uebergewicht
w;151;21;99;Kraftsport;Uebergewicht
m;160;57;76;Ausdauersport;Normalgewicht
w;154;35;58;Kraftsport;Normalgewicht
w;157;28;57;keinSport;Normalgewicht
m;162;39;67;Ausdauersport;Normalgewicht
m;163;41;60;keinSport;Normalgewicht
w;160;36;99;keinSport;Uebergewicht
w;148;38;47;keinSport;Normalgewicht
w;155;26;72;keinSport;Uebergewicht
w;159;56;46;Kraftsport;Untergewicht
w;162;42;86;Ausdauersport;Uebergewicht
w;152;34;68;keinSport;Uebergewicht
w;155;52;100;keinSport;Uebergewicht
m;153;32;97;Kraftsport;Uebergewicht
w;145;40;80;Kraftsport;Uebergewicht
w;153;51;82;keinSport;Uebergewicht
m;166;51;63;Ausdauersport;Normalgewicht
m;167;74;63;keinSport;Untergewicht
w;158;67;60;Ausdauersport;Untergewicht
m;163;55;66;keinSport;Normalgewicht
w;154;42;111;keinSport;Uebergewicht
w;145;29;43;keinSport;Normalgewicht
m;158;48;63;keinSport;Normalgewicht
m;167;30;46;keinSport;Untergewicht
w;179;58;65;keinSport;Untergewicht
m;162;71;72;keinSport;Normalgewicht
w;150;57;85;keinSport;Uebergewicht
m;159;37;52;keinSport;Untergewicht
m;167;59;102;keinSport;Uebergewicht
w;147;66;70;keinSport;Uebergewicht
m;152;40;57;keinSport;Normalgewicht
w;159;72;54;Ausdauersport;Normalgewicht
m;156;77;93;Ausdauersport;Uebergewicht
w;150;31;40;keinSport;Untergewicht
m;162;29;59;Ausdauersport;Normalgewicht
m;171;52;76;keinSport;Normalgewicht
m;160;54;47;Ausdauersport;Untergewicht
w;148;37;53;Ausdauersport;Normalgewicht
m;165;74;73;Ausdauersport;Normalgewicht
m;170;26;55;Ausdauersport;Untergewicht
m;166;50;114;keinSport;Uebergewicht
m;155;40;57;Ausdauersport;Normalgewicht
w;151;46;71;keinSport;Uebergewicht
w;154;60;110;keinSport;Uebergewicht
m;173;64;70;keinSport;Untergewicht
w;159;29;58;keinSport;Normalgewicht
m;160;63;127;Ausdauersport;Uebergewicht
m;159;44;58;keinSport;Normalgewicht
m;168;88;89;Kraftsport;Normalgewicht
m;158;27;66;Ausdauersport;Uebergewicht
m;156;49;50;Ausdauersport;Untergewicht
m;160;41;54;Ausdauersport;Normalgewicht
w;161;39;63;Kraftsport;Normalgewicht
w;155;70;70;keinSport;Normalgewicht
w;147;43;97;keinSport;Uebergewicht
m;160;44;85;Ausdauersport;Uebergewicht
m;167;43;55;Ausdauersport;Untergewicht
w;166;27;83;keinSport;Uebergewicht
w;149;55;56;Ausdauersport;Normalgewicht
w;150;75;66;Ausdauersport;Normalgewicht
w;153;46;52;Ausdauersport;Normalgewicht
w;159;57;63;Ausdauersport;Normalgewicht
w;149;24;62;keinSport;Uebergewicht
m;164;47;55;keinSport;Untergewicht
m;161;67;57;Ausdauersport;Untergewicht
w;156;75;59;keinSport;Untergewicht
w;149;29;45;Ausdauersport;Normalgewicht
m;164;47;48;Ausdauersport;Normalgewicht
m;168;62;66;Kraftsport;Normalgewicht
m;149;42;65;Ausdauersport;Normalgewicht
m;158;19;45;Ausdauersport;Untergewicht
m;160;39;50;Kraftsport;Untergewicht
m;161;83;49;Ausdauersport;Untergewicht
m;165;24;41;Ausdauersport;Untergewicht
m;165;46;57;Ausdauersport;Untergewicht
w;151;32;70;Ausdauersport;Uebergewicht
w;162;52;61;Ausdauersport;Normalgewicht
m;166;53;54;Ausdauersport;Untergewicht
w;149;45;65;Kraftsport;Normalgewicht
m;170;32;75;keinSport;Uebergewicht
m;160;87;55;Ausdauersport;Untergewicht
m;161;19;66;keinSport;Uebergewicht
m;163;57;80;Ausdauersport;Uebergewicht
m;160;19;55;keinSport;Normalgewicht
m;151;35;75;keinSport;Uebergewicht
m;152;48;73;Ausdauersport;Uebergewicht
m;159;39;42;Ausdauersport;Untergewicht
w;155;55;56;Kraftsport;Normalgewicht
w;152;56;94;keinSport;Uebergewicht
w;151;33;86;Ausdauersport;Uebergewicht
w;147;22;64;Kraftsport;Normalgewicht
m;163;51;61;keinSport;Untergewicht
w;153;24;53;keinSport;Normalgewicht
w;159;39;87;Ausdauersport;Uebergewicht
w;147;32;60;keinSport;Uebergewicht
w;151;48;66;Kraftsport;Normalgewicht
m;167;62;97;keinSport;Uebergewicht
m;151;65;102;Kraftsport;Uebergewicht
m;167;39;55;keinSport;Untergewicht
w;156;32;48;keinSport;Untergewicht
w;175;41;79;keinSport;Normalgewicht
w;153;68;62;Ausdauersport;Normalgewicht
w;156;48;61;Ausdauersport;Normalgewicht
m;159;31;64;keinSport;Normalgewicht
w;146;43;74;keinSport;Uebergewicht
m;157;39;62;keinSport;Normalgewicht
m;163;60;55;Ausdauersport;Normalgewicht
w;148;47;60;keinSport;Uebergewicht
w;150;63;67;keinSport;Uebergewicht
m;169;82;102;keinSport;Uebergewicht
m;151;66;61;Ausdauersport;Normalgewicht
w;157;35;47;Ausdauersport;Untergewicht
m;167;58;58;Ausdauersport;Untergewicht
w;144;55;49;keinSport;Normalgewicht
m;145;19;58;Ausdauersport;Normalgewicht
m;150;44;117;keinSport;Uebergewicht
w;152;29;41;Kraftsport;Untergewicht
w;158;48;54;Ausdauersport;Untergewicht
w;159;27;57;Ausdauersport;Normalgewicht
w;160;30;61;keinSport;Normalgewicht
m;158;44;72;keinSport;Uebergewicht
m;150;58;98;Ausdauersport;Uebergewicht
m;169;30;56;keinSport;Untergewicht
w;157;54;78;Kraftsport;Uebergewicht
w;148;48;58;Ausdauersport;Normalgewicht
w;152;71;62;keinSport;Normalgewicht
w;157;21;57;keinSport;Normalgewicht
m;165;21;61;Kraftsport;Normalgewicht
m;173;38;51;keinSport;Untergewicht
w;153;77;70;Ausdauersport;Normalgewicht
m;172;51;104;keinSport;Uebergewicht
w;151;45;76;keinSport;Uebergewicht
w;152;49;72;Ausdauersport;Uebergewicht
m;168;48;67;Ausdauersport;Normalgewicht
w;152;54;75;Ausdauersport;Uebergewicht
m;163;41;58;keinSport;Untergewicht
w;150;23;55;Ausdauersport;Normalgewicht
w;145;20;51;keinSport;Normalgewicht
m;163;47;66;Ausdauersport;Normalgewicht
w;152;40;55;Ausdauersport;Normalgewicht
w;161;51;51;keinSport;Untergewicht
w;151;50;63;Ausdauersport;Normalgewicht
w;158;47;57;keinSport;Normalgewicht
w;172;46;60;Ausdauersport;Untergewicht
m;168;61;69;keinSport;Normalgewicht
m;155;73;67;keinSport;Normalgewicht
m;160;56;105;keinSport;Uebergewicht
m;167;51;59;Ausdauersport;Normalgewicht
m;173;94;76;Ausdauersport;Normalgewicht
w;148;28;78;keinSport;Uebergewicht
w;146;38;47;Ausdauersport;Normalgewicht
w;148;26;111;keinSport;Uebergewicht
m;173;45;56;Ausdauersport;Normalgewicht
w;150;68;87;keinSport;Uebergewicht
w;147;30;73;Kraftsport;Uebergewicht
m;168;47;100;keinSport;Uebergewicht
m;161;41;62;Ausdauersport;Normalgewicht
m;156;54;72;keinSport;Uebergewicht
m;164;44;90;keinSport;Uebergewicht
m;160;53;59;Ausdauersport;Normalgewicht
w;149;60;121;keinSport;Uebergewicht
m;163;66;75;Ausdauersport;Normalgewicht
w;150;73;62;keinSport;Normalgewicht
w;152;45;74;keinSport;Uebergewicht
m;160;37;87;keinSport;Uebergewicht
w;148;57;63;keinSport;Uebergewicht
m;156;100;45;Ausdauersport;Untergewicht
m;162;58;67;keinSport;Normalgewicht
w;146;30;66;keinSport;Uebergewicht
m;164;23;60;keinSport;Normalgewicht
m;156;51;49;Kraftsport;Untergewicht
m;164;22;117;Ausdauersport;Uebergewicht
w;148;62;51;Ausdauersport;Normalgewicht
w;178;45;67;keinSport;Untergewicht
m;164;40;67;Ausdauersport;Normalgewicht
m;159;23;62;keinSport;Normalgewicht
w;147;31;64;Kraftsport;Normalgewicht
m;167;48;46;keinSport;Untergewicht
m;155;46;52;keinSport;Untergewicht
m;152;53;56;keinSport;Normalgewicht
m;165;72;69;keinSport;Normalgewicht
w;150;41;52;Ausdauersport;Normalgewicht
m;168;69;82;keinSport;Normalgewicht
w;150;57;61;Ausdauersport;Normalgewicht
w;148;27;49;Kraftsport;Normalgewicht
w;153;32;69;keinSport;Uebergewicht
m;157;32;48;Ausdauersport;Untergewicht
m;159;46;61;keinSport;Normalgewicht
w;148;44;39;keinSport;Untergewicht
m;156;28;70;keinSport;Uebergewicht
m;157;52;75;Kraftsport;Normalgewicht
m;169;56;68;keinSport;Untergewicht
m;168;29;74;Ausdauersport;Uebergewicht
m;159;34;59;keinSport;Normalgewicht
m;166;57;138;keinSport;Uebergewicht
m;157;28;57;keinSport;Normalgewicht
m;153;53;68;keinSport;Uebergewicht
m;155;62;123;keinSport;Uebergewicht
w;152;55;73;keinSport;Uebergewicht
m;163;81;75;Kraftsport;Normalgewicht
m;150;59;48;keinSport;Untergewicht
m;159;44;71;keinSport;Uebergewicht
w;152;45;67;Kraftsport;Normalgewicht
m;161;72;56;keinSport;Untergewicht
m;161;43;59;Ausdauersport;Normalgewicht
w;148;31;36;keinSport;Untergewicht
m;163;43;55;Ausdauersport;Normalgewicht
w;155;23;59;Kraftsport;Normalgewicht
w;161;79;60;Ausdauersport;Normalgewicht
w;158;20;64;Ausdauersport;Normalgewicht
m;163;40;49;Ausdauersport;Normalgewicht
m;151;18;36;keinSport;Untergewicht
m;167;28;60;keinSport;Normalgewicht
w;146;99;49;Kraftsport;Untergewicht
w;157;78;51;keinSport;Untergewicht
w;152;30;87;Ausdauersport;Uebergewicht
w;155;56;77;Ausdauersport;Uebergewicht
w;159;56;74;Ausdauersport;Normalgewicht
m;165;53;77;Ausdauersport;Normalgewicht
w;146;41;56;keinSport;Uebergewicht
m;157;70;58;keinSport;Untergewicht
w;151;38;59;Kraftsport;Normalgewicht
m;156;68;75;Ausdauersport;Uebergewicht
w;151;47;58;keinSport;Normalgewicht
w;149;58;50;Ausdauersport;Normalgewicht
w;158;40;58;keinSport;Normalgewicht
w;148;57;60;Kraftsport;Normalgewicht
w;152;79;53;Ausdauersport;Untergewicht
m;156;75;71;Kraftsport;Normalgewicht
w;156;23;69;keinSport;Uebergewicht
w;148;30;52;keinSport;Normalgewicht
m;164;90;60;keinSport;Untergewicht
m;169;23;60;keinSport;Normalgewicht
m;164;51;134;keinSport;Uebergewicht
w;147;70;50;Ausdauersport;Normalgewicht
m;163;68;107;Kraftsport;Uebergewicht
m;163;59;69;Kraftsport;Normalgewicht
m;160;50;68;Ausdauersport;Normalgewicht
w;147;21;37;Ausdauersport;Untergewicht
m;159;38;58;keinSport;Normalgewicht
w;155;66;73;keinSport;Uebergewicht
w;147;84;51;Ausdauersport;Untergewicht
w;152;49;58;keinSport;Normalgewicht
m;168;27;66;Ausdauersport;Normalgewicht
m;160;48;61;keinSport;Normalgewicht
w;154;18;50;Ausdauersport;Normalgewicht
w;147;62;65;keinSport;Uebergewicht
m;156;47;60;Kraftsport;Normalgewicht
m;162;18;43;Ausdauersport;Untergewicht
w;152;23;66;Ausdauersport;Normalgewicht
w;148;44;64;keinSport;Uebergewicht
w;144;20;53;keinSport;Uebergewicht
m;154;37;85;keinSport;Uebergewicht
m;160;35;73;Kraftsport;Normalgewicht
m;162;47;66;Ausdauersport;Normalgewicht
m;160;33;44;keinSport;Untergewicht
m;165;63;58;Kraftsport;Untergewicht
m;156;64;88;keinSport;Uebergewicht
w;159;57;86;keinSport;Uebergewicht
w;153;47;49;keinSport;Untergewicht
m;167;45;50;keinSport;Untergewicht
w;148;32;57;keinSport;Uebergewicht
w;156;53;70;keinSport;Uebergewicht
w;146;68;124;keinSport;Uebergewicht
m;166;75;90;Kraftsport;Uebergewicht
m;162;75;61;Ausdauersport;Normalgewicht
m;149;28;58;Kraftsport;Normalgewicht
w;154;58;64;Kraftsport;Normalgewicht
m;171;18;96;keinSport;Uebergewicht
m;167;24;75;keinSport;Uebergewicht
w;151;48;49;Ausdauersport;Untergewicht
m;172;19;59;Ausdauersport;Normalgewicht
w;157;34;55;Ausdauersport;Normalgewicht
m;164;54;63;Kraftsport;Normalgewicht
m;161;55;87;Kraftsport;Uebergewicht
w;151;42;47;Kraftsport;Untergewicht
m;159;53;60;Ausdauersport;Normalgewicht
w;158;46;54;keinSport;Untergewicht
w;153;29;38;Ausdauersport;Untergewicht
w;146;28;66;keinSport;Uebergewicht
w;159;33;87;Ausdauersport;Uebergewicht
w;157;36;48;Ausdauersport;Untergewicht
m;157;73;61;Ausdauersport;Normalgewicht
m;162;50;61;keinSport;Normalgewicht
m;160;85;82;Kraftsport;Normalgewicht
w;156;68;75;Ausdauersport;Uebergewicht
m;156;58;60;Ausdauersport;Normalgewicht
m;166;30;60;Ausdauersport;Normalgewicht
m;162;74;60;keinSport;Untergewicht
m;171;60;106;Ausdauersport;Uebergewicht
m;165;62;93;keinSport;Uebergewicht
w;150;36;87;keinSport;Uebergewicht
m;169;36;47;Ausdauersport;Untergewicht
w;146;48;59;Ausdauersport;Normalgewicht
w;153;36;66;keinSport;Uebergewicht
w;144;94;69;keinSport;Uebergewicht
m;159;67;78;Ausdauersport;Uebergewicht
w;149;76;78;Ausdauersport;Uebergewicht
m;167;41;48;Ausdauersport;Untergewicht
m;176;48;74;keinSport;Normalgewicht
w;147;24;50;Ausdauersport;Normalgewicht
w;156;24;74;keinSport;Uebergewicht
w;165;65;60;Ausdauersport;Normalgewicht
m;171;68;67;Ausdauersport;Untergewicht
w;146;45;111;keinSport;Uebergewicht
m;163;83;120;keinSport;Uebergewicht
w;163;56;83;Kraftsport;Normalgewicht
m;167;54;79;Kraftsport;Normalgewicht
m;160;37;48;keinSport;Untergewicht
w;152;61;88;Ausdauersport;Uebergewicht
w;155;35;98;keinSport;Uebergewicht
m;167;18;52;keinSport;Untergewicht
w;161;19;50;keinSport;Normalgewicht
w;144;19;42;Ausdauersport;Normalgewicht
w;144;18;45;Kraftsport;Normalgewicht
m;162;50;71;Kraftsport;Normalgewicht
m;161;22;50;Ausdauersport;Untergewicht
m;170;73;44;keinSport;Untergewicht
m;166;55;64;keinSport;Untergewicht
w;145;62;71;keinSport;Uebergewicht
m;164;48;82;keinSport;Uebergewicht
m;168;53;82;keinSport;Uebergewicht
m;167;47;69;keinSport;Normalgewicht
w;156;72;63;keinSport;Normalgewicht
m;164;31;76;keinSport;Uebergewicht
w;155;42;88;keinSport;Uebergewicht
m;158;19;41;Ausdauersport;Untergewicht
w;154;55;87;keinSport;Uebergewicht
w;145;48;40;keinSport;Untergewicht
w;152;48;55;keinSport;Normalgewicht
m;162;34;75;keinSport;Uebergewicht
w;146;37;41;keinSport;Untergewicht
w;154;51;58;keinSport;Normalgewicht
w;153;73;48;Ausdauersport;Normalgewicht
m;151;63;69;Ausdauersport;Uebergewicht
w;145;49;60;Ausdauersport;Normalgewicht
w;155;19;71;Ausdauersport;Normalgewicht
m;169;77;89;keinSport;Uebergewicht
m;166;18;48;Ausdauersport;Untergewicht
w;147;62;60;keinSport;Normalgewicht
m;167;69;71;keinSport;Normalgewicht
w;144;33;48;keinSport;Normalgewicht
w;148;56;57;keinSport;Normalgewicht
m;162;46;60;keinSport;Normalgewicht
m;166;69;64;Ausdauersport;Untergewicht
w;153;27;37;Ausdauersport;Untergewicht
m;160;41;63;Ausdauersport;Normalgewicht
m;168;43;65;Ausdauersport;Normalgewicht
m;160;64;74;Ausdauersport;Normalgewicht
w;151;55;46;keinSport;Untergewicht
w;159;20;70;keinSport;Uebergewicht
w;163;58;66;keinSport;Normalgewicht
m;168;36;70;keinSport;Normalgewicht
m;169;39;70;keinSport;Normalgewicht
w;147;62;72;keinSport;Uebergewicht
m;164;64;59;keinSport;Untergewicht
w;160;58;64;keinSport;Normalgewicht
m;151;27;59;Ausdauersport;Normalgewicht
w;151;37;42;Ausdauersport;Normalgewicht
w;163;33;47;keinSport;Untergewicht
w;148;28;57;Kraftsport;Uebergewicht
m;167;69;68;Kraftsport;Untergewicht
m;156;53;73;keinSport;Uebergewicht
m;157;51;79;Ausdauersport;Uebergewicht
w;151;37;56;Ausdauersport;Normalgewicht
w;158;57;57;Kraftsport;Untergewicht
m;150;73;47;keinSport;Untergewicht
m;158;26;69;Ausdauersport;Normalgewicht
m;164;48;67;keinSport;Normalgewicht
w;162;21;111;keinSport;Uebergewicht
m;167;35;57;Kraftsport;Untergewicht
w;158;52;81;keinSport;Uebergewicht
m;163;54;65;Kraftsport;Normalgewicht
w;152;25;59;Ausdauersport;Normalgewicht
m;160;50;87;Kraftsport;Uebergewicht
w;149;28;68;keinSport;Uebergewicht
m;161;46;48;keinSport;Untergewicht
w;152;66;63;Ausdauersport;Normalgewicht
m;167;85;54;Ausdauersport;Untergewicht
w;155;30;76;Kraftsport;Uebergewicht
m;152;37;45;keinSport;Untergewicht
w;148;55;63;keinSport;Uebergewicht
w;142;58;50;Ausdauersport;Normalgewicht
w;149;53;75;keinSport;Uebergewicht
m;166;75;101;keinSport;Uebergewicht
m;173;49;79;keinSport;Normalgewicht
w;157;71;53;Ausdauersport;Normalgewicht
m;158;48;74;keinSport;Uebergewicht
w;145;29;51;Kraftsport;Normalgewicht
w;171;47;68;Ausdauersport;Normalgewicht
m;172;81;61;keinSport;Untergewicht
w;158;19;63;keinSport;Uebergewicht
w;153;53;54;keinSport;Normalgewicht
m;160;47;49;Kraftsport;Untergewicht
m;167;49;53;keinSport;Untergewicht
m;159;66;70;keinSport;Normalgewicht
w;148;61;61;keinSport;Normalgewicht
m;164;34;50;keinSport;Untergewicht
w;159;40;48;keinSport;Untergewicht
w;149;26;88;Ausdauersport;Uebergewicht
w;146;72;55;Ausdauersport;Normalgewicht
w;154;44;66;keinSport;Uebergewicht
w;153;76;76;keinSport;Uebergewicht
w;148;61;66;keinSport;Uebergewicht
m;163;23;41;Ausdauersport;Untergewicht
w;147;59;123;keinSport;Uebergewicht
m;154;36;53;keinSport;Normalgewicht
w;151;59;69;Ausdauersport;Uebergewicht
m;163;71;117;Ausdauersport;Uebergewicht
m;159;37;68;Kraftsport;Normalgewicht
m;171;32;58;Ausdauersport;Untergewicht
w;162;45;54;Ausdauersport;Normalgewicht
m;165;53;55;Ausdauersport;Normalgewicht
m;165;53;71;Ausdauersport;Normalgewicht
m;152;36;115;Ausdauersport;Uebergewicht
w;197;34;81;keinSport;Normalgewicht
m;169;40;66;Ausdauersport;Normalgewicht
w;150;23;65;Kraftsport;Normalgewicht
m;164;48;85;Kraftsport;Uebergewicht
m;164;26;63;Kraftsport;Normalgewicht
m;158;72;44;keinSport;Untergewicht
m;154;36;64;keinSport;Normalgewicht
m;161;24;93;keinSport;Uebergewicht
m;151;20;55;keinSport;Normalgewicht
m;158;60;66;keinSport;Normalgewicht
w;149;46;50;Ausdauersport;Normalgewicht
m;149;57;52;Ausdauersport;Normalgewicht
w;149;32;55;keinSport;Normalgewicht
m;161;27;70;keinSport;Uebergewicht
w;149;26;62;keinSport;Uebergewicht
w;154;40;62;keinSport;Normalgewicht
m;169;36;114;keinSport;Uebergewicht
m;164;54;77;keinSport;Uebergewicht
m;169;69;49;keinSport;Untergewicht
m;172;53;77;Ausdauersport;Normalgewicht
m;164;55;67;Ausdauersport;Normalgewicht
w;159;58;67;keinSport;Normalgewicht
w;159;74;68;Ausdauersport;Normalgewicht
m;159;47;59;Ausdauersport;Normalgewicht
m;159;50;128;Ausdauersport;Uebergewicht
m;164;35;120;keinSport;Uebergewicht
m;163;32;53;Ausdauersport;Normalgewicht
m;159;53;59;Ausdauersport;Normalgewicht
m;165;28;70;Ausdauersport;Normalgewicht
m;155;34;49;Ausdauersport;Normalgewicht
w;147;60;60;keinSport;Normalgewicht
w;146;47;46;keinSport;Untergewicht
m;170;50;102;Kraftsport;Uebergewicht
m;170;73;73;keinSport;Normalgewicht
m;171;28;56;keinSport;Untergewicht
m;154;33;62;keinSport;Uebergewicht
m;163;53;52;Ausdauersport;Normalgewicht
w;146;67;65;Ausdauersport;Uebergewicht
w;147;67;57;Ausdauersport;Normalgewicht
m;156;37;74;Ausdauersport;Uebergewicht
m;163;40;82;keinSport;Uebergewicht
m;157;21;54;keinSport;Normalgewicht
w;158;44;53;keinSport;Normalgewicht
m;163;55;67;keinSport;Normalgewicht
w;151;64;60;Kraftsport;Normalgewicht
w;148;56;71;keinSport;Uebergewicht
m;173;28;54;keinSport;Untergewicht
w;148;70;55;Ausdauersport;Normalgewicht
m;156;40;57;keinSport;Normalgewicht
w;151;70;66;Ausdauersport;Normalgewicht
m;166;58;62;Ausdauersport;Normalgewicht
m;157;40;95;Kraftsport;Uebergewicht
m;160;28;78;Ausdauersport;Uebergewicht
w;157;41;56;Ausdauersport;Normalgewicht
m;173;58;88;Ausdauersport;Normalgewicht
w;147;28;52;keinSport;Normalgewicht
w;149;50;62;Ausdauersport;Normalgewicht
w;151;53;108;keinSport;Uebergewicht
m;170;36;65;Ausdauersport;Normalgewicht
w;154;51;69;keinSport;Uebergewicht
w;157;61;45;Ausdauersport;Normalgewicht
w;149;30;74;Ausdauersport;Uebergewicht
m;164;68;107;Kraftsport;Uebergewicht
w;148;37;60;Ausdauersport;Normalgewicht
w;186;28;88;Ausdauersport;Normalgewicht
w;147;79;66;keinSport;Uebergewicht
m;160;61;61;keinSport;Untergewicht
w;148;49;36;Ausdauersport;Untergewicht
w;152;25;51;Ausdauersport;Normalgewicht
m;153;51;47;Ausdauersport;Normalgewicht
m;168;35;61;keinSport;Untergewicht
w;158;51;82;Kraftsport;Uebergewicht
m;164;23;116;keinSport;Uebergewicht
m;156;43;72;keinSport;Uebergewicht
w;155;43;45;Ausdauersport;Untergewicht
w;160;60;59;keinSport;Untergewicht
m;158;30;96;Kraftsport;Uebergewicht
w;149;48;41;keinSport;Untergewicht
m;157;18;57;keinSport;Normalgewicht
w;153;66;66;Ausdauersport;Normalgewicht
w;152;53;54;keinSport;Normalgewicht
w;149;47;69;Ausdauersport;Uebergewicht
m;163;59;50;Ausdauersport;Normalgewicht
w;150;20;58;Ausdauersport;Normalgewicht
w;161;38;78;Ausdauersport;Uebergewicht
w;151;30;89;Ausdauersport;Uebergewicht
m;148;24;72;keinSport;Uebergewicht
w;147;35;57;keinSport;Uebergewicht
w;155;38;57;keinSport;Normalgewicht
w;152;19;54;Ausdauersport;Normalgewicht
m;164;41;55;Ausdauersport;Normalgewicht
m;151;26;51;keinSport;Normalgewicht
w;145;51;58;keinSport;Uebergewicht
w;153;29;75;Kraftsport;Uebergewicht
m;162;52;62;Ausdauersport;Normalgewicht
m;162;32;58;keinSport;Normalgewicht
w;155;42;35;keinSport;Untergewicht
w;150;28;64;Ausdauersport;Uebergewicht
w;144;78;52;keinSport;Normalgewicht
m;151;53;92;Kraftsport;Uebergewicht
w;145;50;71;keinSport;Uebergewicht
w;156;54;63;keinSport;Normalgewicht
w;159;45;57;Ausdauersport;Normalgewicht
w;146;71;93;keinSport;Uebergewicht
m;169;70;82;keinSport;Normalgewicht
w;150;39;66;Kraftsport;Normalgewicht
w;151;53;70;keinSport;Uebergewicht
w;148;23;52;keinSport;Normalgewicht
m;166;52;55;keinSport;Untergewicht
m;161;35;60;Ausdauersport;Normalgewicht
w;150;19;51;keinSport;Normalgewicht
w;193;58;89;Ausdauersport;Normalgewicht
m;168;35;62;Ausdauersport;Normalgewicht
w;155;50;49;keinSport;Untergewicht
w;151;60;46;keinSport;Untergewicht
m;159;24;45;keinSport;Untergewicht
w;151;35;42;Ausdauersport;Untergewicht
w;152;26;109;keinSport;Uebergewicht
m;158;43;67;keinSport;Normalgewicht
w;146;39;41;keinSport;Untergewicht
m;156;56;77;keinSport;Uebergewicht
w;152;36;71;Ausdauersport;Uebergewicht
w;156;38;60;keinSport;Normalgewicht
w;153;47;40;keinSport;Untergewicht
m;156;32;62;keinSport;Normalgewicht
w;152;48;58;keinSport;Normalgewicht
m;164;29;57;keinSport;Normalgewicht
w;152;40;60;keinSport;Normalgewicht
m;161;27;118;Kraftsport;Uebergewicht
m;158;47;126;keinSport;Uebergewicht
w;152;61;51;Ausdauersport;Untergewicht
m;172;38;46;keinSport;Untergewicht
w;149;85;56;Kraftsport;Normalgewicht
m;168;41;44;Kraftsport;Untergewicht
m;162;50;66;keinSport;Normalgewicht
w;157;54;80;keinSport;Uebergewicht
m;150;74;63;Kraftsport;Normalgewicht
w;152;22;74;Ausdauersport;Uebergewicht
w;174;74;89;Ausdauersport;Normalgewicht
w;156;21;53;Kraftsport;Normalgewicht
w;154;47;43;Ausdauersport;Untergewicht
m;155;31;63;Ausdauersport;Normalgewicht
m;162;36;81;Kraftsport;Uebergewicht
m;165;65;53;keinSport;Untergewicht
m;161;21;51;keinSport;Untergewicht
w;144;44;44;Ausdauersport;Normalgewicht
w;156;51;67;keinSport;Uebergewicht
w;177;38;89;Ausdauersport;Normalgewicht
m;159;52;57;keinSport;Untergewicht
m;162;71;60;Kraftsport;Untergewicht
w;147;48;90;Ausdauersport;Uebergewicht
w;162;66;93;Kraftsport;Uebergewicht
m;168;58;71;Ausdauersport;Normalgewicht
w;150;48;122;Kraftsport;Uebergewicht
w;153;80;55;Ausdauersport;Normalgewicht
m;162;38;47;keinSport;Untergewicht
m;161;37;108;Kraftsport;Uebergewicht
m;158;37;66;keinSport;Normalgewicht
m;162;47;43;keinSport;Untergewicht
m;167;54;55;Ausdauersport;Untergewicht
w;148;37;48;keinSport;Normalgewicht
m;156;28;47;Ausdauersport;Normalgewicht
m;168;32;59;Ausdauersport;Untergewicht
w;152;70;67;Kraftsport;Normalgewicht
w;152;32;62;Ausdauersport;Normalgewicht
w;148;29;66;Ausdauersport;Normalgewicht
m;168;51;85;keinSport;Uebergewicht
m;167;42;55;Ausdauersport;Untergewicht
w;155;39;39;keinSport;Untergewicht
w;151;75;68;keinSport;Normalgewicht
w;145;48;51;keinSport;Normalgewicht
w;145;21;54;Ausdauersport;Normalgewicht
w;149;26;42;Ausdauersport;Normalgewicht
m;172;31;64;keinSport;Normalgewicht
m;164;70;50;keinSport;Untergewicht
